date,A,B,C,D
21-Jun-05,0,0,0,0
22-Jun-05,0,0,0,0
23-Jun-05,0,0,0,0
24-Jun-05,0,0,0,0
25-Jun-05,0,0,0,0
26-Jun-05,0,0,0,0
27-Jun-05,0,0,0,0
28-Jun-05,0,0,0,0
29-Jun-05,0,0,0,0
30-Jun-05,0,0,1,0
1-Jul-05,0,0,0,0
2-Jul-05,0,0,0,0
3-Jul-05,0,0,0,0
4-Jul-05,0,0,0,0
5-Jul-05,0,0,7.9,0
6-Jul-05,0,0,0.8,0
7-Jul-05,0,0,0.6,0
8-Jul-05,0,0,0,0
9-Jul-05,0,0,0,0
10-Jul-05,0,0,0,0
11-Jul-05,0,0,0,0
12-Jul-05,0,0,0,0
13-Jul-05,0,0,0,0
14-Jul-05,0,0,0,0
15-Jul-05,0,0,0,0
16-Jul-05,0,0,0,0
17-Jul-05,0,0,0,0
18-Jul-05,0,,7,0
19-Jul-05,,1.5,11.6,1.5
20-Jul-05,,0.1,6.3,0
21-Jul-05,0,,2.1,0
22-Jul-05,0,0,0,0
23-Jul-05,0,0,0.2,0
24-Jul-05,0,0,0,0
25-Jul-05,0,0,6,0
26-Jul-05,0,0,2.7,0
27-Jul-05,0,0,0,0
28-Jul-05,0,0,0,0
29-Jul-05,0,0,0,0
30-Jul-05,0,0,0,0
31-Jul-05,0,0,0,0
1-Aug-05,0,0,0,0
2-Aug-05,0,0,0,0
3-Aug-05,0,0,0,0
4-Aug-05,0,0,0,0
5-Aug-05,0,0,0,0
6-Aug-05,0,0.3,8,1.7
7-Aug-05,2.9,0.5,2.5,0
8-Aug-05,0,0,0,0
9-Aug-05,0,0,0,0
10-Aug-05,0,0,0,0
11-Aug-05,0,0,0,0
12-Aug-05,0,0,0,0
13-Aug-05,0,0,0,0
14-Aug-05,0,0,0,0
15-Aug-05,0,0,0,0
16-Aug-05,0,0,0,0
17-Aug-05,0,0,0,0
18-Aug-05,0,0,0,0
19-Aug-05,0,0,0,0
20-Aug-05,0,0.6,0,0
21-Aug-05,0,0,0,0
22-Aug-05,0,0,0,0
23-Aug-05,0,0,0.2,0
24-Aug-05,0,0,1.5,0
25-Aug-05,,0,0,0
26-Aug-05,0,0,1.8,2
27-Aug-05,0,0.5,0,0
28-Aug-05,0,0,0,0
29-Aug-05,0,0,0,0
30-Aug-05,0,0,0,0
31-Aug-05,0,,0,0
1-Sep-05,0,0,0,0
2-Sep-05,0,0,0,0
3-Sep-05,0,0,0,0
4-Sep-05,0,0,0,0
5-Sep-05,0,0,0,0
6-Sep-05,0,0,0,0
7-Sep-05,0,0,0,0
8-Sep-05,0,0,0,0
9-Sep-05,0,0,0,0
10-Sep-05,0,0,0.7,0
11-Sep-05,0,0,0,0
12-Sep-05,0,0.2,6.7,0.4
13-Sep-05,,8.3,35.8,1.5
14-Sep-05,0,1.9,2.1,1.7
15-Sep-05,0,0,4.8,0
16-Sep-05,0,0,0,0
17-Sep-05,0,0,0,0
18-Sep-05,0,0,0,0
19-Sep-05,0,0,1.5,0
20-Sep-05,0,0,0,0
21-Sep-05,0,0,0,0
22-Sep-05,0,0,1.7,0
23-Sep-05,0,0.9,3,0
24-Sep-05,0,0.4,0.6,0
25-Sep-05,0,0,2.6,0
26-Sep-05,0,0,0,0
27-Sep-05,0,0,0,0
28-Sep-05,0,0,0,0
29-Sep-05,0,0,5.9,0
30-Sep-05,0,0,0,0.5
1-Oct-05,0,0,1.6,0
2-Oct-05,6.7,0,32,0
3-Oct-05,2.3,,11.5,3.4
4-Oct-05,2.7,,2.9,2.6
5-Oct-05,,0,0,0
6-Oct-05,1.2,1.8,12,1.9
7-Oct-05,3.8,0.2,15.1,0.7
8-Oct-05,10.6,2.5,19.5,0.9
9-Oct-05,0,1.7,11,0
10-Oct-05,8.4,0.1,2.4,0
11-Oct-05,3.4,0.3,5.1,1.1
12-Oct-05,0,0.5,0,0.6
13-Oct-05,0,0,4.4,0
14-Oct-05,0,0,0,0
15-Oct-05,0,0,0.4,0
16-Oct-05,0,0,19.1,0.3
17-Oct-05,3.2,3.8,6.9,2.5
18-Oct-05,6.9,0,16.5,0
19-Oct-05,1.2,0,1.4,0
20-Oct-05,,0,0,0.2
21-Oct-05,0,0,0,0
22-Oct-05,0,0,7.3,0
23-Oct-05,6.6,0,6.8,3.8
24-Oct-05,1.9,0,7,0
25-Oct-05,0,0,0.5,0
26-Oct-05,3,0,0.3,0
27-Oct-05,0,0,0.2,0
28-Oct-05,0,0,0.4,0
29-Oct-05,0,0,0,0
30-Oct-05,0,0,0,0
31-Oct-05,0,0,3.9,0
1-Nov-05,0,0,0,0
2-Nov-05,0,0.9,0,0
3-Nov-05,0,0,6.5,0
4-Nov-05,0,0,2.3,0
5-Nov-05,0,0,0,0
6-Nov-05,0,0.7,7.9,0
7-Nov-05,8.6,3.7,16.2,0
8-Nov-05,2.2,7.1,1.6,1.7
9-Nov-05,8.8,0.1,12.1,3.2
10-Nov-05,13.7,0,0.5,2.8
11-Nov-05,24.6,14.3,4.5,13.2
12-Nov-05,0,12.1,2,14.1
13-Nov-05,0,0,0,1
14-Nov-05,0,0,15.7,0
15-Nov-05,4.9,2.9,0.5,0
16-Nov-05,0,0,0,0
17-Nov-05,1.4,1.8,1.5,0
18-Nov-05,3.6,0.2,6.9,0
19-Nov-05,2.2,0.3,0.2,0.5
20-Nov-05,1.5,2.3,6.3,2.6
21-Nov-05,3.5,1.7,4.8,4.6
22-Nov-05,4.7,1.1,0.4,6.1
23-Nov-05,0,0,2.4,0
24-Nov-05,0,0,21.9,0
25-Nov-05,2.5,0,13,0.7
26-Nov-05,0,0,1,0
27-Nov-05,0,0,0,0
28-Nov-05,0,0,0,0
29-Nov-05,0,1.3,8.6,0
30-Nov-05,0,0.6,0.7,0
1-Dec-05,,2.8,19.2,8.1
2-Dec-05,1.9,0,5,0
3-Dec-05,3,8.3,5.1,6.4
4-Dec-05,1.2,0.8,7.8,3.5
5-Dec-05,0,0,3.2,0.5
6-Dec-05,0,4.1,0.7,0
7-Dec-05,0,0,2.7,0
8-Dec-05,0,5.8,12.3,0.6
9-Dec-05,0,1.1,1.1,0
10-Dec-05,0,0,26.7,0
11-Dec-05,4.8,3.3,4.7,5.5
12-Dec-05,0,0,7.5,2.1
13-Dec-05,5.1,3.7,46.7,0
14-Dec-05,6.6,1.6,3.7,0
15-Dec-05,19.2,4.7,3.4,3.8
16-Dec-05,,17.7,13.6,8.1
17-Dec-05,1,8.5,4.9,0.6
18-Dec-05,9.6,0.2,0.3,0
19-Dec-05,2.1,0,4.8,0
20-Dec-05,0,0,2.2,0
21-Dec-05,0,0,5.6,0
22-Dec-05,1.5,0,21.4,0
23-Dec-05,1.9,0.6,7.4,3.2
24-Dec-05,,0,6.8,0
25-Dec-05,5.4,3.4,32.3,0
