,X1
X0,130.424072265625
X1,112.44849395752
X2,115.524314880371
X3,29.3649578094482
X4,8.7943172454834
X5,0
X6,2.5764844417572
X7,26.5009841918945
X8,20.5435123443604
X9,56.6254997253418
X10,78.5228042602539
X11,127.671737670898
X12,100.080093383789
X13,142.113861083984
X14,91.8736419677734
X15,47.212776184082
X16,6.78972864151001
X17,7.08081007003784
X18,4.13565254211426
X19,16.8084564208984
X20,21.9511604309082
X21,67.0672607421875
X22,54.0497283935547
X23,41.6690521240234
X24,72.5858840942383
X25,49.6515579223633
X26,61.4330139160156
X27,40.614875793457
X28,10.5359392166138
X29,10.8770704269409
X30,0
X31,7.53025722503662
X32,17.0861530303955
X33,37.2673034667969
X34,26.5038051605225
X35,58.4547805786133
X36,121.467720031738
X37,133.996688842773
X38,137.061798095703
X39,46.9123649597168
X40,42.4085388183594
X41,11.8368091583252
X42,1.49548530578613
X43,13.0734405517578
X44,21.7300090789795
X45,58.8421821594238
X46,52.8273773193359
X47,89.2818222045898
X48,110.631607055664
X49,93.5314407348633
X50,142.661193847656
X51,54.2596282958984
X52,23.1913471221924
X53,4.63837432861328
X54,5.85552453994751
X55,13.6258974075317
X56,26.9795322418213
X57,31.057897567749
X58,49.7250518798828
X59,82.9946441650391
X60,99.7064437866211
X61,154.446472167969
X62,132.858657836914
X63,70.3690414428711
X64,16.0800094604492
X65,0
X66,4.54318904876709
X67,19.760498046875
X68,22.0720138549805
X69,24.456169128418
X70,24.6474895477295
X71,68.3567962646484
X72,121.39525604248
X73,99.7123336791992
X74,69.7801208496094
X75,29.5803985595703
X76,23.3103446960449
X77,3.61764168739319
X78,12.2390584945679
X79,10.210033416748
X80,18.8708305358887
X81,40.2251281738281
X82,39.4112319946289
X83,73.4696578979492
X84,124.145874023438
X85,108.663024902344
X86,70.766845703125
X87,56.129940032959
X88,21.812141418457
X89,0.936309218406677
X90,0
X91,2.00031518936157
X92,19.6763324737549
X93,48.4615364074707
X94,34.2793083190918
X95,104.085838317871
X96,110.284645080566
X97,116.292106628418
X98,129.924346923828
X99,56.7147407531738
X100,19.0337295532227
X101,11.5219230651855
X102,10.820032119751
X103,20.3533554077148
X104,24.0664100646973
X105,64.0560607910156
X106,41.055606842041
X107,66.2672958374023
X108,85.8758697509766
X109,48.033016204834
X110,66.2288055419922
X111,32.8794174194336
X112,22.1108131408691
X113,35.1909942626953
X114,7.48153018951416
X115,15.7122611999512
X116,25.7328777313232
X117,88.6665802001953
X118,62.1271667480469
X119,75.2431793212891
X120,82.5367584228516
X121,75.1323547363281
X122,146.72770690918
X123,45.4979248046875
X124,17.0353221893311
X125,13.0960493087769
X126,4.69978904724121
X127,7.05851936340332
X128,36.405689239502
X129,40.1180076599121
X130,41.6753463745117
