,X1
X358,48.3337707519531
X359,105.668960571289
X360,142.312377929688
X361,131.572799682617
X362,127.076499938965
X363,73.167121887207
X364,24.7182083129883
X365,0.730212926864624
X366,5.17269039154053
X367,13.8144798278809
X368,39.3818092346191
X369,79.6942825317383
X370,63.5460548400879
X371,118.836959838867
X372,80.1848754882812
X373,98.3184509277344
X374,72.1841735839844
X375,99.6259841918945
X376,22.0619277954102
X377,10.9457168579102
X378,5.21599817276001
X379,12.8270721435547
X380,44.4304580688477
X381,62.2215156555176
X382,75.1396636962891
X383,155.011215209961
X384,111.236038208008
X385,132.605209350586
X386,127.749557495117
X387,35.3407821655273
X388,20.1273155212402
X389,17.8170280456543
X390,8.01361846923828
X391,31.2882862091064
X392,17.4258270263672
X393,72.4851150512695
X394,32.275749206543
X395,105.019432067871
X396,132.150787353516
X397,99.0642395019531
X398,151.428283691406
X399,43.1570930480957
X400,29.6441555023193
X401,5.63317632675171
X402,14.8941669464111
X403,10.7707176208496
X404,45.3430938720703
X405,45.8408355712891
X406,46.6017189025879
X407,91.237060546875
X408,142.33447265625
X409,91.1758117675781
X410,86.8826293945312
X411,61.3005104064941
X412,38.0266380310059
X413,9.7911376953125
X414,8.75351715087891
X415,20.2803192138672
X416,32.3774490356445
X417,34.233470916748
X418,57.782901763916
X419,99.6527633666992
X420,76.0329895019531
X421,111.564598083496
X422,74.1045913696289
X423,45.6322288513184
X424,13.9979000091553
X425,8.47422790527344
X426,7.47514963150024
X427,12.9353532791138
X428,33.8699684143066
X429,64.4739151000977
X430,25.0520648956299
X431,82.0257339477539
