"","x"
"1",6.00303926051487
"2",6.00372182367153
"3",6.0043971067927
"4",6.00506171703767
"5",6.00571203619767
"6",6.00634422591614
"7",6.00695423326607
"8",6.00753779667941
"9",6.00809045222286
"10",6.00860754021382
"11",6.00908421216994
"12",6.00951543808521
"13",6.00989601402502
"14",6.010220570032
"15",6.0104835783343
"16",6.01067936184697
"17",6.01080210295702
"18",6.01084585258202
"19",6.01080453949156
"20",6.01067197988042
"21",6.0104418871819
"22",6.01010788210898
"23",6.00966350291074
"24",6.00910221583073
"25",6.00841742575382
"26",6.00760248702702
"27",6.00665071443994
"28",6.00555539434966
"29",6.00430979593442
"30",6.00290718256017
"31",6.00134082324374
"32",5.99960400419561
"33",5.99769004042543
"34",5.99559228739262
"35",5.99330415268441
"36",5.99081910770326
"37",5.98813069934533
"38",5.98523256165157
"39",5.98211842741266
"40",5.97878213970921
"41",5.97521766336795
"42",5.9714190963153
"43",5.96738068080905
"44",5.96309681452931
"45",5.95856206150976
"46",5.95377116289037
"47",5.94871904747291
"48",5.94340084206081
"49",5.93781188156508
"50",5.9319477188583
"51",5.92580413435913
"52",5.91937714532996
"53",5.91266301487085
"54",5.9056582605935
"55",5.89835966295909
"56",5.89076427326491
"57",5.88286942126481
"58",5.87467272240935
"59",5.8661720846923
"60",5.85736571509049
"61",5.84825212558517
"62",5.83883013875348
"63",5.82909889291956
"64",5.81905784685572
"65",5.80870678402488
"66",5.79804581635636
"67",5.78707538754802
"68",5.77579627588881
"69",5.76420959659647
"70",5.75231680366635
"71",5.74011969122826
"72",5.7276203944089
"73",5.71482138969904
"74",5.70172549482496
"75",5.68833586812522
"76",5.67465600743428
"77",5.66068974847609
"78",5.6464412627711
"79",5.63191505506172
"80",5.61711596026169
"81",5.60204913993624
"82",5.58672007832032
"83",5.57113457788362
"84",5.55529875445152
"85",5.53921903189226
"86",5.52290213638119
"87",5.50635509025398
"88",5.48958520546116
"89",5.47260007663739
"90",5.45540757379907
"91",5.43801583468512
"92",5.42043325675568
"93",5.40266848886465
"94",5.38473042262203
"95",5.36662818346265
"96",5.34837112143838
"97",5.32996880175094
"98",5.31143099504315
"99",5.29276766746642
"100",5.2739889705425
"101",5.25510523083786
"102",5.23612693946898
"103",5.21706474145693
"104",5.19792942494977
"105",5.17873191033092
"106",5.15948323923207
"107",5.14019456346853
"108",5.12087713391507
"109",5.10154228934007
"110",5.08220144521529
"111",5.06286608251856
"112",5.04354773654615
"113",5.02425798575118
"114",5.00500844062426
"115",4.98581073263166
"116",4.96667650322626
"117",4.94761739294576
"118",4.92864503061215
"119",4.90977102264583
"120",4.89100694250729
"121",4.8723643202785
"122",4.85385463239568
"123",4.83548929154432
"124",4.81727963672682
"125",4.79923692351229
"126",4.78137231447754
"127",4.76369686984745
"128",4.74622153834241
"129",4.72895714823956
"130",4.71191439865427
"131",4.69510385104717
"132",4.67853592096181
"133",4.66222086999703
"134",4.64616879801761
"135",4.63038963560619
"136",4.61489313675873
"137",4.59968887182522
"138",4.58478622069666
"139",4.57019436623911
"140",4.55592228797451
"141",4.54197875600803
"142",4.5283723252008
"143",4.51511132958664
"144",4.50220387703088
"145",4.48965784412899
"146",4.47748087134227
"147",4.46568035836774
"148",4.45426345973874
"149",4.44323708065275
"150",4.4326078730225
"151",4.42238223174637
"152",4.41256629119381
"153",4.40316592190129
"154",4.39418672747446
"155",4.38563404169177
"156",4.37751292580502
"157",4.36982816603204
"158",4.36258427123709
"159",4.35578547079417
"160",4.34943571262885
"161",4.34353866143416
"162",4.33809769705628
"163",4.33311591304592
"164",4.32859611537141
"165",4.3245408212898
"166",4.32095225837248
"167",4.31783236368207
"168",4.31518278309749
"169",4.3130048707847
"170",4.31129968881051
"171",4.3100680068975
"172",4.30931030231816
"173",4.30902675992697
"174",4.30921727232913
"175",4.30988144018528
"176",4.31101857265174
"177",4.31262768795622
"178",4.31470751410926
"179",4.31725648975188
"180",4.32027276514054
"181",4.32375420327055
"182",4.32769838113937
"183",4.33210259115194
"184",4.33696384266986
"185",4.34227886370703
"186",4.34804410277428
"187",4.35425573087591
"188",4.36090964366126
"189",4.36800146373446
"190",4.37552654312598
"191",4.3834799659293
"192",4.39185655110662
"193",4.40065085546717
"194",4.40985717682207
"195",4.41946955731946
"196",4.4294817869638
"197",4.43988740732311
"198",4.45067971542783
"199",4.46185176786496
"200",4.47339638507101
"201",4.48530615582695
"202",4.49757344195844
"203",4.51019038324421
"204",4.52314890253512
"205",4.53644071108652
"206",4.55005731410569
"207",4.56399001651627
"208",4.57822992894091
"209",4.59276797390315
"210",4.60759489224897
"211",4.62270124978812
"212",4.63807744415487
"213",4.65371371188713
"214",4.66960013572272
"215",4.68572665211064
"216",4.70208305893498
"217",4.71865902344837
"218",4.73544409041119
"219",4.75242769043254
"220",4.76959914850783
"221",4.78694769274783
"222",4.80446246329281
"223",4.82213252140536
"224",4.83994685873428
"225",4.85789440674196
"226",4.8759640462863
"227",4.89414461734833
"228",4.91242492889565
"229",4.93079376887123
"230",4.9492399142968
"231",4.96775214147924
"232",4.98631923630788
"233",5.00493000463018
"234",5.02357328269273
"235",5.04223794763379
"236",5.06091292801366
"237",5.07958721436803
"238",5.09824986976974
"239",5.11689004038352
"240",5.13549696599816
"241",5.15405999052028
"242",5.17256857241341
"243",5.19101229506616
"244",5.20938087707272
"245",5.22766418240907
"246",5.24585223048809
"247",5.26393520607654
"248",5.28190346905708
"249",5.29974756401844
"250",5.31745822965683
"251",5.33502640797192
"252",5.35244325324083
"253",5.36970014075375
"254",5.38678867529501
"255",5.40370069935398
"256",5.42042830105004
"257",5.43696382175675
"258",5.45329986341043
"259",5.46942929548897
"260",5.48534526164712
"261",5.50104118599521
"262",5.51651077900862
"263",5.53174804305616
"264",5.54674727753593
"265",5.56150308360822
"266",5.57601036851552
"267",5.59026434948047
"268",5.6042605571735
"269",5.61799483874254
"270",5.63146336039822
"271",5.64466260954855
"272",5.6575893964782
"273",5.67024085556826
"274",5.68261444605323
"275",5.69470795231294
"276",5.70651948369803
"277",5.71804747388847
"278",5.72929067978557
"279",5.74024817993883
"280",5.75091937250989
"281",5.76130397277673
"282",5.77140201018225
"283",5.78121382493207
"284",5.79074006414748
"285",5.79998167758019
"286",5.8089399128963
"287",5.817616310538
"288",5.82601269817196
"289",5.83413118473434
"290",5.84197415408312
"291",5.84954425826901
"292",5.85684441043694
"293",5.86387777737085
"294",5.87064777169505
"295",5.87715804374594
"296",5.8834124731285
"297",5.88941515997251
"298",5.89517041590376
"299",5.90068275474608
"300",5.90595688297031
"301",5.91099768990686
"302",5.91581023773837
"303",5.92039975128999
"304",5.92477160763409
"305",5.92893132552733
"306",5.93288455469734
"307",5.93663706499704
"308",5.94019473544421
"309",5.94356354316412
"310",5.94674955225323
"311",5.94975890258143
"312",5.95259779855076
"313",5.95527249782798
"314",5.95778930006851
"315",5.9601545356489
"316",5.96237455442497
"317",5.96445571453216
"318",5.9664043712449
"319",5.96822686591095
"320",5.96992951497685
"321",5.97151859911979
"322",5.9730003525014
"323",5.97438095215806
"324",5.97566650754231
"325",5.97686305022934
"326",5.97797652380223
"327",5.97901277392911
