Year,Month,Index
1974,5,-0.04
1974,6,-0.12
1974,7,-0.25
1974,8,-0.21
1974,9,-0.35
1974,10,-0.46
1974,11,-0.71
1974,12,-0.73
1975,1,-0.82
1975,2,-0.4
1975,3,0.06
1975,4,0.15
1975,5,-0.23
1975,6,-0.59
1975,7,-0.6
1975,8,-0.67
1975,9,-1
1975,10,-1.38
1975,11,-1.46
1975,12,-1.14
1976,1,-0.65
1976,2,-0.27
1976,3,0.13
1976,4,0.65
1976,5,1.33
1976,6,1.83
1976,7,1.96
1976,8,1.78
1976,9,1.35
1976,10,1.05
1976,11,0.91
1976,12,0.83
1977,1,0.53
1977,2,0.26
1977,3,0
1977,4,-0.17
1977,5,-0.31
1977,6,-0.32
1977,7,-0.31
1977,8,-0.45
1977,9,-0.46
1977,10,-0.3
1977,11,-0.07
1977,12,-0.05
1978,1,-0.03
1978,2,-0.25
1978,3,-0.31
1978,4,-0.59
1978,5,-0.63
1978,6,-0.77
1978,7,-0.85
1978,8,-0.72
1978,9,-0.69
1978,10,-0.25
1978,11,0.04
1978,12,0.36
1979,1,0.16
1979,2,-0.08
1979,3,-0.09
1979,4,0.06
1979,5,0.35
1979,6,0.26
1979,7,0.27
1979,8,0.32
1979,9,0.53
1979,10,0.58
1979,11,0.39
1979,12,0.12
1980,1,-0.05
1980,2,0.03
1980,3,0.13
1980,4,0.09
1980,5,-0.04
1980,6,-0.3
1980,7,-0.24
1980,8,-0.21
1980,9,-0.11
1980,10,-0.14
1980,11,-0.18
1980,12,-0.5
1981,1,-0.69
1981,2,-0.74
1981,3,-0.53
1981,4,-0.47
1981,5,-0.5
1981,6,-0.56
1981,7,-0.63
1981,8,-0.73
1981,9,-0.67
1981,10,-0.5
1981,11,-0.29
1981,12,-0.16
1982,1,-0.25
1982,2,-0.58
1982,3,-0.75
1982,4,-0.58
1982,5,-0.09
1982,6,0.42
1982,7,0.87
1982,8,1.26
1982,9,1.66
1982,10,2.4
1982,11,3.08
1982,12,3.4
1983,1,3.03
1983,2,2.72
1983,3,2.99
1983,4,3.62
1983,5,4.25
1983,6,4.4
1983,7,4.05
1983,8,3.06
1983,9,2.06
1983,10,1.16
1983,11,0.69
1983,12,0.12
1984,1,-0.39
1984,2,-0.76
1984,3,-0.61
1984,4,-0.6
1984,5,-0.53
1984,6,-0.65
1984,7,-0.47
1984,8,-0.23
1984,9,-0.16
1984,10,0.04
1984,11,-0.01
1984,12,-0.14
1985,1,-0.66
1985,2,-0.87
1985,3,-1.03
1985,4,-1.13
1985,5,-1.23
1985,6,-1.27
1985,7,-1.07
1985,8,-0.97
1985,9,-0.78
1985,10,-0.65
1985,11,-0.44
1985,12,-0.13
1986,1,0.1
1986,2,-0.03
1986,3,-0.36
1986,4,-0.72
1986,5,-0.82
1986,6,-0.71
1986,7,-0.33
1986,8,0.12
1986,9,0.39
1986,10,0.55
1986,11,0.72
1986,12,1.01
1987,1,1.27
1987,2,1.53
1987,3,1.72
1987,4,1.82
1987,5,1.62
1987,6,1.35
1987,7,1.07
1987,8,1.11
1987,9,1.27
1987,10,1.4
1987,11,1.25
1987,12,0.74
1988,1,0.22
1988,2,-0.32
1988,3,-0.63
1988,4,-0.92
1988,5,-1.19
1988,6,-1.4
1988,7,-1.56
1988,8,-1.52
1988,9,-1.43
1988,10,-1.13
1988,11,-0.87
1988,12,-0.57
1989,1,-0.33
1989,2,-0.14
1989,3,-0.04
1989,4,-0.38
1989,5,-0.66
1989,6,-0.91
1989,7,-0.59
1989,8,-0.47
1989,9,-0.35
1989,10,-0.32
1989,11,-0.21
1989,12,-0.2
1990,1,-0.21
1990,2,-0.24
1990,3,-0.25
1990,4,-0.24
1990,5,-0.16
1990,6,-0.19
1990,7,-0.25
1990,8,-0.33
1990,9,-0.36
1990,10,-0.43
1990,11,-0.46
1990,12,-0.41
1991,1,-0.3
1991,2,-0.18
1991,3,-0.08
1991,4,-0.12
1991,5,-0.03
1991,6,0.26
1991,7,0.55
1991,8,0.71
1991,9,0.79
1991,10,0.94
1991,11,1.06
1991,12,1.01
1992,1,1.03
1992,2,1.24
1992,3,1.88
1992,4,2.4
1992,5,2.23
1992,6,1.43
1992,7,0.63
1992,8,0.31
1992,9,0.29
